movie_name,genres,percentage_ROI_gross_budget,gross,budget,average_rating,number_vote,primary_name,primary_profession,release_date,release_year,runtime_minutes,distributor,max_theatre_count
the intern,"comedy,drama",100,75764672,40000000,7.1,97433.0,Nancy Meyers,"writer,producer,director",2015-09-25 00:00:00,2015,121.0,Warner Bros.,"3,320"
the martian,"adventure,drama,sci-fi",200,228433663,108000000,7.85,346144.0,Andy Weir,"writer,producer,miscellaneous",2015-10-02 00:00:00,2015,144.0,20th Cent…,"3,854"
the walk,"adventure,biography,drama",0,10161183,35000000,7.1,55810.0,Robert Zemeckis,"producer,writer,director",2015-10-02 00:00:00,2015,123.0,Sony Pict…,"2,509"
freeheld,"biography,drama,romance",0,546201,7000000,6.9,5447.0,Ron Nyswaner,"producer,writer,director",2015-10-02 00:00:00,2015,103.0,Lionsgate,148
knock knock,"drama,thriller",0,36336,2000000,4.95,34909.0,Anthony Overman,writer,2015-10-09 00:00:00,2015,99.0,Lionsgate,22
pan,"adventure,comedy,family",0,35088320,150000000,5.85,28784.0,J.M. Barrie,"writer,actor,soundtrack",2015-10-09 00:00:00,2015,111.0,Warner Bros.,"3,515"
the circle,"drama,sci-fi,thriller",100,20497844,18000000,5.4,36292.0,Dave Eggers,"writer,miscellaneous,producer",2015-10-13 00:00:00,2017,110.0,STX Enter…,"3,163"
room,"drama,thriller",100,14677674,13000000,8.149999999999999,161142.0,Emma Donoghue,"writer,producer,director",2015-10-16 00:00:00,2015,118.0,A24,862
goosebumps,"adventure,comedy,family",100,80069458,58000000,6.25,37502.0,Scott Alexander,"writer,producer,director",2015-10-16 00:00:00,2015,103.0,Sony Pict…,"3,618"
bridge of spies,"drama,history,thriller",100,72313754,40000000,7.4,133658.0,Ethan Coen,"producer,writer,director",2015-10-16 00:00:00,2015,142.0,Walt Disney,"2,873"
crimson peak,"drama,fantasy,horror",0,31090320,55000000,6.5,61136.0,Matthew Robbins,"writer,director,actor",2015-10-16 00:00:00,2015,119.0,Universal,"2,991"
woodlawn,"drama,sport",100,14394097,13000000,6.75,3074.0,Quinton Peeples,"producer,writer,miscellaneous",2015-10-16 00:00:00,2015,123.0,Pure Flix…,"1,553"
the last witch hunter,"action,adventure,fantasy",0,27367660,80000000,5.9,44155.0,Matt Sazama,"writer,producer,editorial_department",2015-10-23 00:00:00,2015,106.0,Lionsgate,"3,082"
burnt,"comedy,drama",0,13651946,20000000,6.5,48914.0,Michael Kalesniko,"writer,director,actor",2015-10-23 00:00:00,2015,101.0,Weinstein…,"3,003"
paranormal activity: the ghost dimension,"horror,mystery,thriller",100,18297124,10000000,4.9,11567.0,Adam Robitel,"actor,director,writer",2015-10-23 00:00:00,2015,88.0,Paramount…,"1,656"
jem and the holograms,"adventure,drama,family",0,2184640,5000000,4.75,3462.0,Christy Marx,"writer,miscellaneous,director",2015-10-23 00:00:00,2015,118.0,Universal,"2,417"
rock the kasbah,"comedy,music,war",0,3020665,15000000,5.5,4870.0,Mitch Glazer,"writer,producer,director",2015-10-23 00:00:00,2015,106.0,Open Road,"2,012"
scouts guide to the zombie apocalypse,"action,comedy,horror",0,3703046,15000000,6.25,20697.0,Christopher Landon,"writer,producer,director",2015-10-30 00:00:00,2015,93.0,Paramount…,"1,509"
our brand is crisis,"comedy,drama",0,7002261,28000000,6.0,9669.0,Rachel Boynton,"producer,writer,director",2015-10-30 00:00:00,2015,107.0,Warner Bros.,"2,202"
the peanuts movie,"adventure,animation,comedy",100,130178411,99000000,6.85,20021.0,Charles M. Schulz,"writer,producer,art_department",2015-11-01 00:00:00,2015,88.0,20th Cent…,"3,902"
brooklyn,"drama,romance",300,38322743,11000000,7.4,59466.0,Nick Hornby,"writer,producer,soundtrack",2015-11-04 00:00:00,2015,117.0,Fox Searc…,962
spectre,"action,adventure,thriller",0,200074175,300000000,6.6,179611.0,Ian Fleming,"writer,miscellaneous",2015-11-06 00:00:00,2015,148.0,Sony Pict…,"3,929"
spotlight,"crime,drama",200,45055776,20000000,7.949999999999999,185022.0,Tom McCarthy,"actor,producer,writer",2015-11-06 00:00:00,2015,129.0,Open Road,"1,227"
victor frankenstein,"drama,horror,sci-fi",0,5775076,40000000,5.9,24346.0,Max Landis,"writer,producer,actor",2015-11-10 00:00:00,2015,110.0,20th Cent…,"2,797"
love the coopers,"comedy,fantasy,romance",100,26302731,18000000,5.8,9201.0,Steven Rogers,"writer,producer",2015-11-13 00:00:00,2015,107.0,CBS Films,"2,603"
moana,"adventure,animation,comedy",100,248757044,150000000,7.05,112134.0,Ron Clements,"writer,director,miscellaneous",2015-11-13 00:00:00,2016,107.0,Walt Disney,"3,875"
the hunger games: mockingjay - part 2,"action,adventure,sci-fi",100,281723902,160000000,6.699999999999999,129996.0,Peter Craig,"writer,actor,producer",2015-11-18 00:00:00,2015,137.0,Lionsgate,"4,175"
carol,"drama,romance",100,12711491,11800000,7.300000000000001,51314.0,Patricia Highsmith,writer,2015-11-20 00:00:00,2015,118.0,Weinstein…,790
legend,horror,0,1872994,25000000,5.15,997.0,Glenn Ennis,"stunts,actor,writer",2015-11-20 00:00:00,2015,94.0,Universal,107
the night before,"adventure,comedy,fantasy",100,43035725,25000000,6.25,29705.0,Jonathan Levine,"writer,director,producer",2015-11-20 00:00:00,2015,101.0,Sony Pict…,"2,960"
secret in their eyes,"crime,drama,mystery",100,20180155,20000000,6.3,19075.0,Juan José Campanella,"writer,actor,director",2015-11-20 00:00:00,2015,111.0,STX Enter…,"2,392"
the good dinosaur,"adventure,animation,comedy",0,123087120,187500000,6.7,47300.0,Peter Hedges,"writer,director,actor",2015-11-25 00:00:00,2015,93.0,Walt Disney,"3,749"
creed,horror,200,109767581,37000000,6.949999999999999,2011.0,Stan Harrington,"actor,producer,writer",2015-11-25 00:00:00,2010,77.0,Warner Bros.,"3,502"
battle of the sexes,"biography,comedy,drama",0,12638526,25000000,6.1,21624.0,Simon Beaufoy,"writer,producer,director",2015-12-03 00:00:00,2017,121.0,Fox Searc…,"1,822"
krampus,"comedy,fantasy,horror",200,42725475,15000000,6.1,28223.0,Michael Dougherty,"writer,director,actor",2015-12-04 00:00:00,2015,98.0,Universal,"2,919"
life,"horror,sci-fi,thriller",0,30234022,58000000,6.35,91525.0,Rhett Reese,"writer,producer,miscellaneous",2015-12-04 00:00:00,2017,104.0,Sony Pict…,"3,146"
in the heart of the sea,"action,adventure,biography",0,25020758,100000000,6.75,55382.0,Rick Jaffa,"writer,producer,actor",2015-12-11 00:00:00,2015,122.0,Warner Bros.,"3,103"
the big short,"biography,comedy,drama",200,70259870,28000000,7.55,156942.0,Adam McKay,"producer,writer,director",2015-12-11 00:00:00,2015,130.0,Paramount…,"2,529"
alvin and the chipmunks: the road chip,"adventure,animation,comedy",0,85886987,90000000,5.449999999999999,7679.0,Ross Bagdasarian,"soundtrack,actor,writer",2015-12-18 00:00:00,2015,92.0,20th Cent…,"3,705"
